;"LFP";"WHRS";"KL6";"K618";"AGE";"EDUC";"WW";"RPWG";"HHRS";"HA";"HE";"HW";"FAMINC";"MTR";"WMED";"WFED";"UN";"CIT";"AX";"AGE2";"KIDS";"INC"
"656-1";0;0;0;0;58;12;0;0;3478;53;12;4,0253;15500;0,7215;12;9;11;0;25;3364;0;15,5
"657-1";0;0;1;3;41;14;0;0;2550;42;16;11,765;30800;0,6215;14;12;7,5;0;0;1681;1;30,8
"658-1";0;0;0;1;51;10;0;0;840;52;8;9,5238;10660;0,7515;7;7;14;1;3;2601;1;10,66
"659-1";0;0;0;0;47;12;0;0;1520;52;12;6,9079;13350;0,7215;7;7;11;0;10;2209;0;13,35
"660-1";0;0;1;2;45;9;0;0;1920;35;9;5,151;10090;0,7515;12;3;11;0;10;2025;1;10,09
"661-1";0;0;0;0;60;14;0;0;2703;55;17;20,496;55600;0,4415;16;14;14;1;7;3600;0;55,6
"662-1";0;0;1;1;30;16;0;2;1896;46;16;13,555;25700;0,6615;12;12;9,5;1;5;900;1;25,7
"663-1";0;0;0;0;55;11;0;0;1960;57;13;14,796;29000;0,5815;7;3;5;1;15;3025;0;29
"664-1";0;0;1;2;32;12;0;0;3060;50;8;1,6905;7286;0,7815;10;7;3;0;1;1024;1;7,286
"665-1";0;0;0;2;36;12;0;0;2805;38;12;7,2296;37752;0,5215;7;7;3;0;5;1296;1;37,752
"666-1";0;0;0;0;55;12;0;0;1944;53;7;4,1152;13072;0,7515;3;3;14;0;9;3025;0;13,072
"667-1";0;0;0;0;47;12;0;0;1960;47;12;2,999;7044;0,7715;3;3;14;0;18;2209;0;7,044
"668-1";0;0;0;1;47;12;0;0;2112;52;8;8,0492;18200;0,6915;7;7;14;1;1;2209;1;18,2
"669-1";0;0;0;1;37;11;0;0;2544;39;12;8,577;27000;0,6215;12;7;3;0;0;1369;1;27
"670-1";0;0;0;2;50;12;0;0;1700;53;17;9,3235;30300;0,5815;10;12;3;0;6;2500;1;30,3
"671-1";0;0;0;3;30;12;0;0;2550;31;12;4,7059;12000;0,7515;3;7;14;0;1;900;1;12
"672-1";0;0;0;1;48;17;0;0;2080;45;17;9,1346;31500;0,6615;16;17;3;0;2;2304;1;31,5
"673-1";0;0;0;2;43;10;0;0;2060;49;12;7,767;27092;0,7215;10;10;5;1;15;1849;1;27,092
"674-1";0;0;1;0;48;11;0;0;1955;46;8;4,1269;20968;0,7515;7;7;3;0;25;2304;1;20,968
"675-1";0;0;1;2;41;14;0;0;2500;44;17;10;27000;0,6615;17;7;14;1;1;1681;1;27
"676-1";0;0;0;0;50;12;0;0;2750;52;10;4,0727;11225;0,7515;7;10;7,5;1;0;2500;0;11,225
"677-1";0;0;0;0;58;8;0;0;2040;59;5;7,8529;37700;0,5815;3;3;7,5;0;0;3364;0;37,7
"678-1";0;0;0;5;38;13;0;0;3275;43;15;7,8168;28200;0,6615;12;16;7,5;1;0;1444;1;28,2
"679-1";0;0;0;1;37;12;0;0;2400;39;12;9,1667;34000;0,6615;7;12;5;0;8;1369;1;34
"680-1";0;0;0;0;50;16;0;0;2024;51;17;29,644;63200;0,4415;12;7;9,5;1;22;2500;0;63,2
"681-1";0;0;0;4;42;8;0;0;1840;44;6;4,0761;7500;0,7915;3;3;7,5;1;5;1764;1;7,5
"682-1";0;0;1;3;37;9;0;0;2033;37;17;8,362;17410;0,7215;10;10;9,5;1;10;1369;1;17,41
"683-1";0;0;0;2;41;16;0;0;1946;40;17;12,062;51000;0,4415;16;17;9;1;1;1681;1;51
"684-1";0;0;0;2;31;12;0;0;3660;31;12;2,3251;12916;0,7515;10;7;3;0;1;961;1;12,916
"685-1";0;0;0;0;51;12;0;0;2088;55;11;10,01;21900;0,6615;7;7;5;1;6;2601;0;21,9
"686-1";0;0;1;2;36;12;0;0;2048;41;12;5,2734;17640;0,7515;7;7;5;0;4;1296;1;17,64
"687-1";0;0;0;0;54;15;0;0;1920;52;15;10,417;20000;0,6915;14;16;14;0;6;2916;0;20
"688-1";0;0;0;0;49;12;0;0;2000;54;12;7,5;15000;0,7215;7;7;14;1;0;2401;0;15
"689-1";0;0;1;1;48;9;0;0;2204;47;8;6,3521;14060;0,7215;10;12;5;0;1;2304;1;14,06
"690-1";0;0;0;2;42;9;0;0;3157;45;10;3,8071;15825;0,7215;7;14;9,5;0;3;1764;1;15,825
"691-1";0;0;1;2;41;12;0;0;1665;44;14;9,9099;16510;0,7215;3;16;9,5;1;15;1681;1;16,51
"692-1";0;0;0;0;55;16;0;0;2304;56;11;2,6701;13000;0,7215;12;12;7,5;0;33;3025;0;13
"693-1";0;0;0;0;42;9;0;0;2275;46;8;4,3956;10000;0,7515;7;7;5;1;2;1764;0;10
"694-1";0;0;0;1;32;15;0;0;2760;33;17;7,971;22000;0,6615;12;12;7,5;1;1;1024;1;22
"695-1";0;0;0;2;43;12;0;0;1750;44;14;15,429;29800;0,5815;7;7;7,5;1;10;1849;1;29,8
"696-1";0;0;1;3;33;12;0;0;3366;37;13;1,9854;15000;0,7215;7;7;5;1;0;1089;1;15
"697-1";0;0;0;1;48;15;0;0;2205;51;16;7,2562;22300;0,7215;10;14;9,5;1;14;2304;1;22,3
"698-1";0;0;0;2;43;12;0;0;1990;48;9;7,0352;14550;0,7215;3;16;7,5;1;15;1849;1;14,55
"699-1";0;0;1;3;47;17;0;0;1930;57;16;8,1347;19730;0,6915;14;12;7,5;1;15;2209;1;19,73
"700-1";0;0;0;0;54;12;0;0;1350;60;12;11,981;35000;0,5515;12;12;7,5;1;10;2916;0;35
"701-1";0;0;0;1;51;12;0;0;3340;52;12;5,9922;21014;0,6615;7;3;7,5;1;6;2601;1;21,014
"702-1";0;0;0;1;51;10;0;0;960;57;10;4,1458;10876;0,7515;14;7;7,5;0;18;2601;1;10,876
"703-1";0;0;1;1;43;13;0;0;2732;42;13;8,5102;27850;0,6215;12;10;7,5;0;15;1849;1;27,85
"704-1";0;0;0;0;53;12;0;0;1624;59;8;2,9631;9560;0,7515;0;3;3;0;30;2809;0;9,56
"705-1";0;0;1;1;34;11;0;0;1804;36;12;8,8149;30300;0,6215;7;7;7,5;0;15;1156;1;30,3
"706-1";0;0;1;1;31;8;0;0;2805;31;10;2,4955;7720;0,7815;7;7;7,5;0;10;961;1;7,72
"707-1";0;0;0;0;56;12;0;0;2160;59;8;4,8843;10550;0,7515;10;7;7,5;1;0;3136;0;10,55
"708-1";0;0;0;1;42;16;0;0;2052;55;15;10,2;24106;0,6615;12;7;9,5;1;0;1764;1;24,106
"709-1";0;0;0;2;32;12;0;0;2250;35;16;10;22995;0,6615;12;14;9,5;1;4;1024;1;22,995
"710-1";0;0;1;3;35;12;0;0;1120;37;12;5,3571;6000;0,8015;12;12;9,5;1;0;1225;1;6
"711-1";0;0;1;1;30;12;0;0;2450;36;14;9,7959;24350;0,6615;14;14;9,5;1;3;900;1;24,35
"712-1";0;0;0;0;51;10;0;0;3432;50;11;1,3741;7608;0,7715;7;7;7,5;0;20;2601;0;7,608
"713-1";0;0;0;3;47;12;0;0;2700;48;12;3,463;28200;0,7215;7;7;3;0;3;2209;1;28,2
"714-1";0;0;0;1;54;12;0;0;2817;55;13;5,0408;16150;0,7215;3;7;3;0;1;2916;1;16,15
"715-1";0;0;3;0;31;15;0;0;3000;34;17;16,667;51200;0,4415;7;10;7,5;1;5;961;1;51,2
"716-1";0;0;0;0;47;10;0;0;2125;45;11;4,3294;12646;0,7515;7;7;5;1;7;2209;0;12,646
"717-1";0;0;0;3;47;14;0;0;1864;42;16;10,193;19000;0,6915;7;7;11;1;6;2209;1;19
"718-1";0;0;0;3;40;12;0;0;2400;39;12;7,5833;19000;0,7215;7;7;7,5;1;2;1600;1;19
"719-1";0;0;0;0;48;8;0;0;2160;50;7;4,1204;14400;0,7515;3;3;7,5;0;0;2304;0;14,4
"720-1";0;0;0;7;34;8;0;0;1040;51;7;4,8077;7232;0,9415;3;7;11;1;10;1156;1;7,232
"721-1";0;0;0;3;38;12;0;0;2450;42;16;3,1531;21943;0,7515;7;10;9,5;1;6;1444;1;21,943
"722-1";0;0;1;3;32;12;0;0;2500;34;16;19;47500;0,4615;7;10;7,5;1;4;1024;1;47,5
"723-1";0;0;0;1;48;16;0;0;2131;45;17;6,0535;28900;0,6215;12;7;7,5;1;8;2304;1;28,9
"724-1";0;0;0;2;41;12;0;0;2165;46;7;3,7875;12400;0,7715;7;7;7,5;0;18;1681;1;12,4
"725-1";0;0;0;2;49;5;0;0;2230;43;3;2,9287;6531;0,7815;0;0;7,5;0;7;2401;1;6,531
"726-1";0;0;0;0;59;8;0;0;1995;55;12;9,2972;22422;0,6915;3;7;11;1;15;3481;0;22,422
"727-1";0;0;0;0;58;13;0;0;2025;57;16;9,3827;22200;0,6615;7;7;11;1;7;3364;0;22,2
"728-1";0;0;0;3;41;12;0;0;2450;48;15;26,531;77000;0,4415;7;14;14;1;8;1681;1;77
"729-1";0;0;0;2;45;12;0;0;2160;45;12;40,509;88000;0,4415;10;10;14;1;8;2025;1;88
"730-1";0;0;1;1;30;14;0;0;1715;32;17;15,16;26040;0,6215;12;10;11;0;3;900;1;26,04
"731-1";0;0;0;1;41;12;0;0;3018;42;16;18,964;63500;0,4415;7;7;7,5;1;10;1681;1;63,5
"732-1";0;0;2;0;30;12;0;0;2216;33;16;5,4152;12100;0,7515;10;10;7,5;0;9;900;1;12,1
"733-1";0;0;0;1;53;12;0;0;2499;54;12;1,9988;17505;0,7515;12;7;7,5;1;24;2809;1;17,505
"734-1";0;0;0;0;31;12;0;0;2250;37;14;8;18000;0,6915;10;7;7,5;0;12;961;0;18
"735-1";0;0;0;2;43;14;0;0;2116;44;17;11,153;28069;0,6615;12;12;11;1;2;1849;1;28,069
"736-1";0;0;1;1;31;12;0;0;2016;30;14;5,9524;14000;0,7515;12;14;14;1;6;961;1;14
"737-1";0;0;0;0;51;12;0;0;2470;60;10;2,1194;8117;0,7515;10;3;7,5;1;18;2601;0;8,117
"738-1";0;0;0;0;43;9;0;0;1640;45;12;3,8384;11895;0,7715;7;7;5;1;17;1849;0;11,895
"739-1";0;0;1;2;31;14;0;0;2016;34;16;17,361;45250;0,4915;16;16;5;1;7;961;1;45,25
"740-1";0;0;0;0;48;11;0;0;2185;48;12;8,0092;31106;0,6915;7;10;9,5;1;6;2304;0;31,106
"741-1";0;0;1;1;31;12;0;0;800;33;14;3;4000;0,8015;12;7;9,5;1;10;961;1;4
"742-1";0;0;0;1;44;12;0;0;3022;46;12;10,589;40500;0,5815;7;7;7,5;1;5;1936;1;40,5
"743-1";0;0;0;1;48;11;0;0;1512;50;14;10,913;21620;0,7215;10;7;7,5;1;7;2304;1;21,62
"744-1";0;0;0;1;53;12;0;0;2677;53;12;5,6033;23426;0,7215;0;0;7,5;1;11;2809;1;23,426
"745-1";0;0;0;3;42;10;0;2,75;3150;44;12;7,9365;26000;0,6615;3;3;11;1;14;1764;1;26
"746-1";0;0;2;6;39;12;0;0;1430;34;12;2,9476;7840;0,9415;7;0;9,5;1;5;1521;1;7,84
"747-1";0;0;1;2;32;10;0;0;3307;36;4;2,0562;6800;0,7915;7;3;7,5;0;2;1024;1;6,8
"748-1";0;0;0;2;36;12;0;0;3120;39;12;1,3013;5330;0,7915;7;12;14;0;4;1296;1;5,33
"749-1";0;0;0;2;40;13;0;0;3020;43;16;9,2715;28200;0,6215;10;10;9,5;1;5;1600;1;28,2
"750-1";0;0;2;3;31;12;0;0;2056;33;12;4,8638;10000;0,7715;12;12;7,5;0;14;961;1;10
"751-1";0;0;0;0;43;12;0;0;2383;43;12;1,0898;9952;0,7515;10;3;7,5;0;4;1849;0;9,952
"752-1";0;0;0;0;60;12;0;0;1705;55;8;12,44;24984;0,6215;12;12;14;1;15;3600;0;24,984
"753-1";0;0;0;3;39;9;0;0;3120;48;12;6,0897;28363;0,6915;7;7;11;1;12;1521;1;28,363
